,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX,Net_Buy_Sell,Director_Shareholding,Sentiment_Score
AAPL,-0.01940562344664371,0.25643728745192784,0.26423719653278305,3.758780191036058,-3.3724650339596214,0.2744423247587182,0.2564372874519264,0.23843225014513003,0.14344449807427997,-0.010594393794033706,-9.599706697010131e-05,9.936878721381638e-05,0.0
MSFT,0.018256990922852375,0.24562272052265338,0.5613323670611192,3.280130731881958,-2.9870822607837617,0.23549979289989192,0.24562272052265485,0.2557456481454148,0.38076700608031,-0.06930884805536365,-4.6375129331894365e-05,-0.0001824534933893807,0.0
GOOGL,0.041986831716498016,0.2401463848171212,0.25308126898764616,3.373356001501332,-3.1532391764998358,0.2298964567854332,0.24014638481712905,0.25039631284881203,0.3266716546127508,-0.027091157590303398,1.2020931864085315e-05,0.0006234264130549839,0.0
AMZN,0.04680378793225107,0.23877041374713276,0.3276928886379915,3.5970092605817956,-3.3131056461423816,0.20738232200836626,0.23877041374712624,0.2701585054858918,0.1494717468409823,-0.0030310889527320043,-8.468612515218964e-06,-0.0016355511358829005,0.0
META,-0.07326812799937087,0.2696323796610074,0.5113735702559322,4.603444659918234,-3.936954251826413,0.2655868990310336,0.26963237966100534,0.2736778602909885,0.061294830393933485,-0.018308536881909566,-3.5070339346338994e-05,-0.0013069401780351458,0.0
TSLA,-0.14093812327339653,0.28755182198098883,0.49822348185278076,4.8902147471503365,-4.133504085633872,0.3009601052499474,0.28755182198099627,0.2741435387120732,-0.12530821976406847,0.0006895449530982655,0.00027042664396365675,-0.0027867984842571804,0.0
BRK-B,-0.021777909314731513,0.2566716917273151,0.3071714953817277,4.166820522348411,-3.6446503484814525,0.23016650447937856,0.2566716917273186,0.2831768789752549,0.034983735151386135,-0.02669408785167213,-5.508490576677144e-05,0.0004521081945447731,0.0
JPM,-0.03466603834301614,0.25920690350972886,0.2033614274292231,4.253978238622272,-3.692397112872528,0.2341741991096062,0.2592069035097202,0.28423960790987934,-0.08423720375353796,-0.03871608003551663,-6.203743725164715e-05,-0.0033812520897223792,0.0
JNJ,0.0057743681882839945,0.2507199660243951,0.14012909233757814,4.30025318815713,-3.877063653807166,0.2850281629952941,0.250719966024371,0.21641176905344617,-0.1289613572041063,-0.011847151616414841,-9.886013532484588e-06,-0.0008857035259671889,0.0
V,0.03415742816147793,0.23974227566550005,0.3078037774438356,3.9609367161619913,-3.710640896101114,0.24521214692762586,0.2397422756654831,0.2342724044033508,-0.349959656088437,-0.07086003830082778,-2.5121113904324036e-06,-0.0011069566065112254,0.0
PG,-0.01407843379654553,0.254181254057226,0.14245059618485398,4.15559588946714,-3.801764588535579,0.24675785295801872,0.2541812540572361,0.26160465515647874,-0.1467255974106015,-0.005751548847712185,-3.5230188740787817e-05,0.0011478233851947085,0.0
UNH,0.048409065584119414,0.23912469741261977,0.7545500164604692,3.4528560251942366,-3.286299948101003,0.24844162788125904,0.23912469741262052,0.2298077669439751,-0.03174630826821187,-0.10057357582177914,-0.0002294692553472913,-0.0014527230602141812,0.0
NVDA,-0.3144701866638873,0.3283199628361646,0.04231445710346218,5.8761138298741,-4.762793461975006,0.3685586381910703,0.3283199628362249,0.2880812874814221,0.21183853706952158,-0.011228326936752017,-7.053740661666888e-05,-0.0005631395236242708,0.0
DIS,-0.1546831360876269,0.28967303890317325,0.1774690995710537,4.811601082978021,-4.004743490035034,0.2861478379828305,0.2896730389031855,0.29319823982353616,-0.09950341116723334,-0.01671036583073454,-1.5524426857464935e-05,0.0018787165240107908,-1.8826481560019517e-31
HD,-0.06499249872265983,0.2667211143195196,0.401952619337385,4.322823828083988,-3.830983624007726,0.2376313958084185,0.26672111431952195,0.29581083283061244,-0.07662823313452777,0.0035961132877263486,9.493920006135058e-05,-0.0019740291648187415,0.0
MA,-0.012327742028315408,0.2528595374997007,0.5293399432602934,4.104918925513366,-3.747374262943542,0.21186580767690766,0.2528595374996951,0.2938532673224867,0.04727544415223686,-0.035334657336160986,-0.00025918137084645455,0.0004897957148785478,0.0
PYPL,-0.212643469656644,0.3036788633222256,0.20655674415209255,5.44729325913046,-4.4589355469955825,0.2935232104870824,0.30367886332223,0.31383451615737606,-0.041371796085637416,-0.017367165802696125,0.00014432086960019115,-0.0011281820394912496,0.0
VZ,0.08599906200878761,0.2289291517171811,0.05607433603339373,3.913525488409283,-3.7021866850881286,0.2231232054564418,0.22892915171719433,0.23473509797802503,-0.2249282684010278,-0.005940508673433766,-2.5956280858101716e-05,-0.00015659915230293526,0.0
ADBE,0.012739328190505463,0.24616633138584226,1.1482967993591398,3.4958298705850193,-3.3095529693198986,0.25339399864971196,0.24616633138583363,0.23893866412198544,-0.32731487551356353,-0.11605406955264334,-0.0002565546834478143,-0.0034527641442143276,0.0
NFLX,-0.014389694639537862,0.2547959944631454,1.0925838325214456,3.8915809195807096,-3.5035748429772773,0.2123385745096298,0.25479599446316126,0.29725341441665776,0.10336491288730294,-0.15572536414385987,-0.00023505011860144767,-0.005554759501726187,0.0
