Title,Link
一表看黃仁勳43檔明牌股6月營收比一比！ 技嘉、慧友翻倍成長高居冠亞軍 13檔年月雙增一次看,https://tw.stock.yahoo.com/news/%E4%B8%80%E8%A1%A8%E7%9C%8B%E9%BB%83%E4%BB%81%E5%8B%B343%E6%AA%94%E6%98%8E%E7%89%8C%E8%82%A16%E6%9C%88%E7%87%9F%E6%94%B6%E6%AF%94%E4%B8%80%E6%AF%94%EF%BC%81-%E6%8A%80%E5%98%89%E3%80%81%E6%85%A7%E5%8F%8B%E7%BF%BB%E5%80%8D%E6%88%90%E9%95%B7%E9%AB%98%E5%B1%85%E5%86%A0%E4%BA%9E%E8%BB%8D-13%E6%AA%94%E5%B9%B4%E6%9C%88%E9%9B%99%E5%A2%9E%E4%B8%80%E6%AC%A1%E7%9C%8B-030544275.html
《電週邊》技嘉營收年增翻倍連4 外資叫進,https://tw.stock.yahoo.com/news/%E9%9B%BB%E9%80%B1%E9%82%8A-%E6%8A%80%E5%98%89%E7%87%9F%E6%94%B6%E5%B9%B4%E5%A2%9E%E7%BF%BB%E5%80%8D%E9%80%A34-%E5%A4%96%E8%B3%87%E5%8F%AB%E9%80%B2-010406016.html
《業績-電週邊》技嘉6月營收為229.32億元，年增137.77%,https://tw.stock.yahoo.com/news/%E6%A5%AD%E7%B8%BE-%E9%9B%BB%E9%80%B1%E9%82%8A-%E6%8A%80%E5%98%896%E6%9C%88%E7%87%9F%E6%94%B6%E7%82%BA229-32%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E137-002846508.html
技嘉Q2業績爆發性成長，伺服器佔比突破六成，H2好上加好,https://tw.stock.yahoo.com/news/%E6%8A%80%E5%98%89q2%E6%A5%AD%E7%B8%BE%E7%88%86%E7%99%BC%E6%80%A7%E6%88%90%E9%95%B7-%E4%BC%BA%E6%9C%8D%E5%99%A8%E4%BD%94%E6%AF%94%E7%AA%81%E7%A0%B4%E5%85%AD%E6%88%90-h2%E5%A5%BD%E4%B8%8A%E5%8A%A0%E5%A5%BD-233317591.html
權證市場焦點－技嘉 開發液冷有成,https://tw.stock.yahoo.com/news/%E6%AC%8A%E8%AD%89%E5%B8%82%E5%A0%B4%E7%84%A6%E9%BB%9E-%E6%8A%80%E5%98%89-%E9%96%8B%E7%99%BC%E6%B6%B2%E5%86%B7%E6%9C%89%E6%88%90-201000042.html
【公告】技嘉 2024年6月合併營收229.32億元 年增137.77%,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%8A%80%E5%98%89-2024%E5%B9%B46%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B6229-32%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E137-101141523.html
【公告】技嘉補充-辦理現金增資發行普通股參與發行海外存託憑證之發行股數區間及更新海外第四次無擔保轉換公司債資金運用計畫,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%8A%80%E5%98%89%E8%A3%9C%E5%85%85-%E8%BE%A6%E7%90%86%E7%8F%BE%E9%87%91%E5%A2%9E%E8%B3%87%E7%99%BC%E8%A1%8C%E6%99%AE%E9%80%9A%E8%82%A1%E5%8F%83%E8%88%87%E7%99%BC%E8%A1%8C%E6%B5%B7%E5%A4%96%E5%AD%98%E8%A8%97%E6%86%91%E8%AD%89%E4%B9%8B%E7%99%BC%E8%A1%8C%E8%82%A1%E6%95%B8%E5%8D%80%E9%96%93%E5%8F%8A%E6%9B%B4%E6%96%B0%E6%B5%B7%E5%A4%96%E7%AC%AC%E5%9B%9B%E6%AC%A1%E7%84%A1%E6%93%94%E4%BF%9D%E8%BD%89%E6%8F%9B%E5%85%AC%E5%8F%B8%E5%82%B5%E8%B3%87%E9%87%91%E9%81%8B%E7%94%A8%E8%A8%88%E7%95%AB-102512592.html
權證市場焦點－技嘉 AI伺服器H2出貨,https://tw.stock.yahoo.com/news/%E6%AC%8A%E8%AD%89%E5%B8%82%E5%A0%B4%E7%84%A6%E9%BB%9E-%E6%8A%80%E5%98%89-ai%E4%BC%BA%E6%9C%8D%E5%99%A8h2%E5%87%BA%E8%B2%A8-201000101.html
【公告】技嘉董事會選任董事長事宜,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%8A%80%E5%98%89%E8%91%A3%E4%BA%8B%E6%9C%83%E9%81%B8%E4%BB%BB%E8%91%A3%E4%BA%8B%E9%95%B7%E4%BA%8B%E5%AE%9C-111441602.html
【公告】技嘉董事任期屆滿全面改選名單,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%8A%80%E5%98%89%E8%91%A3%E4%BA%8B%E4%BB%BB%E6%9C%9F%E5%B1%86%E6%BB%BF%E5%85%A8%E9%9D%A2%E6%94%B9%E9%81%B8%E5%90%8D%E5%96%AE-111439137.html
