ticker,daily_return,weekly_return,one_month_return,six_months_return,one_year_return,additional_win_rate,prev_1d_change,prev_3d_change,prev_5d_change,daily_win_rate,weekly_win_rate,monthly_win_rate,six_months_win_rate,one_year_win_rate
AAPL,0.12110701731373016,0.120300897670771,0.5290640645036845,0.19748780139681754,0.09212237762396376,65,1.674330147811176,0.6094936024490183,2.8882391189205103,52.5438596491228,52.58403361344538,52.84279419353271,55.2,54.18326693227091
MSFT,0.11074218140892732,0.10583734520233584,0.13984373106753137,0.13206851893483867,0.11724745316442026,15,0.09039878142309554,-2.635926765666885,-2.6338364440004036,52.45614035087719,52.37394957983193,52.578950070108796,53.6,55.37848605577689
GOOGL,0.1095741882931646,0.11724915825116738,0.2918177809181244,0.23056719317874935,0.17318225065602447,15,0.7888860416590315,-2.4322596896267368,-1.322541404086286,54.473684210526315,54.55882352941177,54.56721934192289,63.2,58.964143426294825
AMZN,0.08845074637961153,0.08576718910802808,0.26681000547545086,0.1882201803072329,0.15796594362413305,15,-0.9100746683475047,-3.5387117988958883,-3.2966994263463834,51.84210526315789,51.61764705882353,51.83056275255152,52.0,51.79282868525896
TSLA,0.27946478699310745,0.30761740893355705,1.932694253388329,0.17800986548230419,0.01086925308004274,50,1.776579679334911,-4.034038586198996,-0.11860640818460721,53.1578947368421,53.50840336134454,53.53110408071922,52.0,49.00398406374502
JPM,0.05653507293455438,0.06330808936397704,0.43130119988821797,0.18143229080638737,0.14082509833356333,45,2.493412974274034,1.0827718801522668,2.3785177786052936,51.05263157894737,51.134453781512605,51.25899729561058,58.4,56.97211155378486
JNJ,0.009914554204806756,0.00809838001085508,0.13474602054423904,-0.06316340355898867,-0.02225408351306653,0,-0.42700785214734305,-0.12714126475894538,2.584554492747504,50.08771929824562,49.85294117647059,50.09637190352814,50.4,53.78486055776892
V,0.0460258494247706,0.05500517083378944,-0.03724469557758327,0.016845115213163186,0.04319921604700619,15,1.0198020893528614,2.0722479874643485,0.769526410478627,52.98245614035088,53.214285714285715,53.00744134861048,58.4,57.76892430278885
PG,0.03429806669507356,0.029471350273803383,-0.06751847009839564,0.07428437143442065,0.04052723009123662,0,-1.2184135237142235,-1.330935959284285,-1.1650266584379954,53.421052631578945,53.088235294117645,53.20461052019197,55.2,54.18326693227091
UNH,0.06743646090300148,0.06744084165581968,0.20284264830674298,0.002133739773524823,0.03667903430579523,45,0.7506883950216592,2.8826388222979116,5.319409607655112,52.89473684210526,52.878151260504204,52.97259588064664,53.6,52.589641434262944
NVDA,0.3265962319228428,0.3170253146554708,-0.08445535550147411,0.7384544050741032,0.4548959997057978,15,-0.6190057395193516,-4.795790560429936,0.18721177759539742,54.736842105263165,54.22268907563025,54.85900341943613,58.4,57.37051792828686
DIS,-0.013238664240968815,-0.009822776048188653,-0.16202062312292592,0.07188547550970173,0.049542122634792435,30,-0.2676768394809792,-0.10312310287949877,-0.5135051719175943,47.89473684210526,47.752100840336134,47.656768583334014,50.4,49.40239043824701
HD,0.06069663146902783,0.0577701651319633,0.18476739531712086,0.0143355603562231,0.05697675530289203,15,-0.36412085460079124,4.148991540234204,5.553588048468305,53.24561403508772,52.94117647058823,53.31276358341055,49.6,51.79282868525896
MA,0.05372706894143115,0.062046273912954954,-0.0022907319500316925,0.0316419269486528,0.043686738959586725,15,0.8838732993822207,2.389075039572064,-0.5019698555475793,52.19298245614035,52.37394957983193,52.33492102516442,55.2,57.37051792828686
PYPL,-0.01094869061311863,-0.0038305114669154277,-0.007934070909866366,0.016510530240180454,-0.04500266773333459,0,0.3318413164433487,2.6655342175745167,2.3354223465081425,51.2280701754386,51.3235294117647,51.233856290024384,53.6,53.78486055776892
VZ,-0.026116439919956005,-0.026840386820708658,0.151076568331973,0.052859230901492,0.08339376017019594,15,-1.5447728335364785,-0.7059418271693318,-1.7818393583445724,48.85964912280702,48.84453781512605,48.937629737296895,49.6,52.191235059760956
ADBE,0.07697796471464678,0.07962196077655373,0.398967872187882,-0.01197234260263187,0.060614715544392406,30,1.1913128208767443,0.20547944464979206,-1.6840462339697826,52.28070175438596,52.28991596638655,52.32779937627034,46.400000000000006,49.00398406374502
NFLX,0.10587590452538578,0.10580387298618488,-0.09324884437597748,0.25006810717192796,0.18126154324226262,15,1.3665900177167734,-3.1284603325089644,-4.271295016254328,50.78947368421053,50.7563025210084,50.565562306773046,51.2,50.99601593625498
