ticker,daily_return,weekly_return,one_month_return,six_months_return,one_year_return,prev_1d_change,prev_3d_change,prev_5d_change,additional_win_rate,daily_win_rate,weekly_win_rate,monthly_win_rate,six_months_win_rate,one_year_win_rate,total_win_rate
2330.TW,0.11163155260155637,0.12050785913237645,0.06765093926164918,0.39754625599125104,0.24254736884224032,4.259850905218321,-2.5870646766169125,-7.203791469194309,15,48.509485094850945,48.566384180790955,48.19206044712965,56.30252100840336,52.6530612244898,269.22351195566466
2317.TW,0.08723192140796282,0.0780714012555554,-0.1854868292742244,0.6276755399190799,0.27836512282595205,4.675324675324677,-1.225490196078427,-5.39906103286385,15,43.99277326106594,43.905367231638415,44.04517659421659,51.26050420168067,44.89795918367347,243.1017804722751
2382.TW,0.16357585104243166,0.15381168377686774,-0.3013368077625584,0.17276332674519593,0.16485655105014396,3.125,-0.3355704697986628,-7.906976744186045,15,50.135501355013545,50.24011299435028,49.88384569496673,48.739495798319325,50.204081632653065,264.20303747530295
2303.TW,0.13005734996278157,0.11928021590787727,-0.5082308509341014,0.0292213050127664,0.0634628001564607,2.191231986859199,-2.656549346510517,-3.2075486093197214,0,48.057813911472444,47.71186440677966,47.97857632794428,46.21848739495798,46.53061224489796,236.4973542860523
1216.TW,0.021969311727032335,0.023381945048343424,0.3817285258499887,0.1968400133761006,0.0704510425710756,0.22649710229902809,1.2585794678680706,4.240280812037156,0,48.32881662149955,47.8954802259887,48.42232202683261,49.57983193277311,49.38775510204081,243.6142059091348
3711.TW,0.09059725217549652,0.08591931296278088,0.00886257577323655,0.2392745771288587,0.2029738831496412,5.182926829268286,-1.9886363636363646,-3.6312849162011163,15,47.696476964769644,47.59887005649717,47.54819358549213,51.26050420168067,49.38775510204081,258.49179991048044
1303.TW,-0.02153376857434804,-0.022219721647100933,-0.05296100259377504,-0.1301472924670401,-0.13024488770294734,0.0,-0.788957632859244,2.86298091512478,0,46.25112917795845,46.17937853107344,46.281957744432816,38.655462184873954,37.142857142857146,214.51078478119578
2002.TW,0.010779817628181839,0.008829990054287086,-0.08431030610021091,-0.05170652186303337,-0.0905872764313601,0.21644691010764827,-1.4893633254030925,0.21644691010764827,15,44.08310749774164,43.96892655367231,44.216453670644256,39.49579831932773,38.775510204081634,225.53979624546758
1301.TW,-0.03751846718453318,-0.03284323343279574,-0.09255753245190447,-0.14580303996146493,-0.1331995553787958,-2.3255839005583256,-3.289473725487979,2.797200092273,0,44.534778681120144,44.49858757062147,44.60699056121173,37.81512605042017,38.775510204081634,210.23099306745513
3231.TW,0.14291814368829941,0.13001294476992545,-0.48389664960240103,-0.09216343206183207,-0.10704102961179734,0.4975124378109541,-5.607476635514019,-11.013215859030833,15,50.135501355013545,50.22598870056497,50.196733602196225,45.378151260504204,46.53061224489796,257.4669871631769
3045.TW,-0.001712172619869259,-0.0033023897207506902,0.022346845910367872,0.0758000439610308,0.052395949376406376,1.9323671497584627,1.4423076923076872,4.455445544554459,0,41.64408310749774,41.320621468926554,41.726936386844116,44.537815126050425,47.755102040816325,216.98455813013516
2542.TW,0.0617255695460558,0.06914571618164356,0.8169217413857439,0.40172191042750033,0.2092634241977947,3.300330116104022,-5.0075917683581554,-2.795035728430051,50,48.32881662149955,48.79237288135593,48.80100535682469,55.46218487394958,47.755102040816325,299.1394817744461
2449.TW,0.12199580028128465,0.1041649183705399,0.08346625936979808,0.2902156659829703,0.2666783647276949,0.44642857142858094,-5.462184873949583,-12.790697674418606,15,49.86449864498645,49.44915254237288,49.63814880812152,47.05882352941176,48.57142857142857,259.5820520963212
5388.TW,0.05596233080935899,0.04467205048695097,-0.11921179858835189,-0.07038034124597653,0.04690652802329772,1.3157894736842035,-3.347280334728031,-3.347280334728031,15,48.32881662149955,48.80649717514124,48.480782308961814,45.378151260504204,46.93877551020408,252.93302287631087
2376.TW,0.19825377797881982,0.22415632841872835,-0.4780300918128997,-0.01776817854118938,-0.007443087453115264,2.752293577981657,-1.2345679012345734,-7.438016528925617,15,49.77416440831075,50.24011299435028,49.61879022522202,44.537815126050425,43.26530612244898,252.43618887638246
2603.TW,0.22474052616369367,0.22902609358351877,-0.8916070162241919,0.11701757919287015,0.2387152910201825,3.0864197530864113,-3.4682080924855474,-2.6239067055393583,0,49.86449864498645,49.61864406779661,49.764124408246346,47.89915966386555,48.57142857142857,245.71785535632353
3035.TW,0.21966513650916067,0.21168286661164376,0.006597785332580385,-0.22537025837561306,-0.006002799092972436,2.8257456828885363,-1.3554216867469826,-8.647140864714087,15,49.14182475158085,49.05367231638418,49.225817397087226,44.537815126050425,48.16326530612245,255.12239489722512
2356.TW,0.09353755617606188,0.08474597692750532,-0.4053630147971685,-0.04588124157389674,-0.06824010007965821,0.389099109542812,-5.494505648057702,-8.021390592507505,0,48.78048780487805,48.8771186440678,48.74801905130225,48.739495798319325,46.93877551020408,242.0838968087715
2357.TW,0.08326489506084382,0.07634438430191587,-0.29430532679067356,0.05526787441023621,0.1740777823478181,2.2435897435897356,-3.2355915065722995,-4.681274900398402,15,48.148148148148145,48.26977401129944,48.2265463773681,42.016806722689076,45.30612244897959,246.96739770848433
2383.TW,0.14449004199626525,0.13296610855936516,-0.09656574011191517,0.06612742881003505,0.17611243763088166,5.6422569027611,-1.6759776536312887,-7.2708113804004215,15,48.41915085817525,48.50282485875706,48.562666403131914,47.05882352941176,48.57142857142857,256.11489422090455
