ticker    ,daily_return           ,weekly_return          ,one_month_return      ,six_months_return    ,one_year_return        ,daily_win_rate     ,weekly_win_rate    ,monthly_win_rate   ,six_months_win_rate ,one_year_win_rate ,additional_win_rate ,total_win_rate
00929.TW  ,0.12239358721265355    ,0.12499186628739212    ,0.03618363317092658   ,0.09571082636009476  ,0.11323697395039115    ,51.28205128205128  ,50.22598870056497  ,51.32445248986602  , 50.42016806722689  ,51.6260162601626  ,                  5 ,259.87867679987176
00712.TW  ,-0.026176835757445605  ,-0.04525820405391682   ,0.1594624764422017    ,0.004708952119888113 ,0.008387384796364724   ,48.18181818181818  ,47.87749287749287  ,48.53352847397072  , 48.739495798319325 ,49.1869918699187  ,                 10 ,252.51932720151981
00637L.TW ,-5.189900177642137e-05 ,0.00013715387385434597 ,0.05310286332110885   ,0.20305729457245184  ,-0.0016330320644116758 ,47.81818181818182  ,48.08404558404558  ,48.13906983982486  , 47.89915966386555  ,44.3089430894309  ,                  0 ,236.2493999953487
2884.TW   ,0.035616047394247646   ,0.0329924152744392     ,0.19477469943651157   ,0.14188862717515766  ,0.07885193104826624    ,45.63636363636363  ,45.56267806267806  ,45.710625254745956 , 52.10084033613446  ,47.15447154471545 ,                 10 ,246.16497883463757
00650L.TW ,-0.05278325605101968   ,-0.0524299313019292    ,0.23037133201808235   ,0.21402456131456166  ,-0.0076990219859157894 ,48.18181818181818  ,48.539886039886035 ,48.454487453153625 , 46.21848739495798  ,43.08943089430895 ,                 15 ,249.48410996412477
2886.TW   ,0.038273742648730916   ,0.04063152240775699    ,0.3123923768465882    ,0.0639573402206984   ,0.054908770622017954   ,47.18181818181818  ,47.27207977207978  ,47.48813301995549  , 47.05882352941176  ,47.96747967479675 ,                  5 ,241.96833417806195
2892.TW   ,0.031782637805020865   ,0.03310135496395734    ,0.1698452049896541    ,0.059085170006117196 ,0.0311561866029524     ,47.0               ,47.3005698005698   ,47.26989520443919  , 49.57983193277311  ,48.78048780487805 ,                  5 ,244.93078474266017
00893.TW  ,0.07625596631772831    ,0.07879827184990754    ,0.38513784913665      ,0.26082660804545355  ,0.1253080065243312     ,50.534759358288774 ,50.84388185654008  ,50.67120940072601  , 54.621848739495796 ,51.6260162601626  ,                 10 ,268.2977156152133
00706L.TW ,-0.09344468748635835   ,-0.10529395904260569   ,-0.11938918265465004  ,-0.19474760687180329 ,-0.1444218857492223    ,41.0               ,40.477207977207975 ,40.69596689268981  , 31.092436974789916 ,35.36585365853659 ,                  0 ,188.6314655032243
2880.TW   ,0.036677120745561585   ,0.03770366420930302    ,0.40088275390309264   ,0.19032339511076715  ,0.09931551723617747    ,45.909090909090914 ,45.76923076923077  ,46.198190893108844 , 51.26050420168067  ,48.3739837398374  ,                 10 ,247.51100051294858
