Date,Open,High,Low,Close,Adj Close,Volume
2020-05-06,197.5,198.0,195.5,196.0,136.59332275390625,1629663
2020-05-07,197.0,199.0,196.0,197.0,137.29022216796875,1145321
2020-05-08,199.0,201.0,198.0,200.5,139.72938537597656,1920994
2020-05-11,202.5,203.0,200.0,202.0,140.7747344970703,1800128
2020-05-12,200.0,201.5,198.5,201.0,140.07785034179688,1540807
2020-05-13,201.0,202.5,200.0,201.5,140.42630004882812,1240638
2020-05-14,201.0,209.0,201.0,208.0,144.95616149902344,5413016
2020-05-15,209.0,210.0,203.5,207.0,144.25926208496094,4274300
2020-05-18,204.0,206.0,202.0,202.0,140.7747344970703,2020262
2020-05-19,207.0,211.0,205.0,210.5,146.69842529296875,3685308
2020-05-20,211.5,213.0,205.5,205.5,143.2139129638672,3195130
2020-05-21,206.0,207.5,205.0,206.5,143.91082763671875,2910014
2020-05-22,206.5,206.5,203.0,204.5,142.5170135498047,1548584
2020-05-25,205.0,206.0,203.0,206.0,143.56236267089844,1180216
2020-05-26,208.0,210.0,206.5,207.5,144.60772705078125,1849968
2020-05-27,207.5,209.0,206.0,208.0,144.95616149902344,872384
2020-05-28,209.5,210.0,208.0,209.0,145.653076171875,1841450
2020-05-29,207.5,210.5,206.0,210.5,146.69842529296875,3410937
2020-06-01,212.0,212.0,209.5,210.0,146.35000610351562,1391156
2020-06-02,210.5,215.0,210.5,214.0,149.13760375976562,2011818
2020-06-03,216.0,217.5,215.0,216.5,150.87986755371094,2133059
2020-06-04,218.5,218.5,215.0,217.0,151.2283172607422,2113515
2020-06-05,217.5,219.0,217.0,219.0,152.6221160888672,1915827
2020-06-08,220.0,221.5,218.5,220.0,153.31903076171875,2856083
2020-06-09,220.0,221.0,219.0,220.5,153.66746520996094,2029290
2020-06-10,220.5,227.5,219.5,225.0,156.80355834960938,4594246
2020-06-11,225.0,231.5,224.0,229.5,159.9396209716797,4719463
2020-06-12,225.0,228.0,221.0,226.0,157.50045776367188,3702635
2020-06-15,223.5,227.0,223.5,225.0,156.80355834960938,3973893
2020-06-16,226.0,231.0,225.5,230.0,160.2880859375,4342585
2020-06-17,230.5,232.0,228.5,231.0,160.9849853515625,3407129
2020-06-18,231.5,235.0,229.5,235.0,163.77261352539062,3829729
2020-06-19,232.5,240.0,232.5,236.5,164.81796264648438,6795486
2020-06-22,243.0,245.0,237.5,245.0,170.7416534423828,5986460
2020-06-23,245.0,249.0,243.5,246.5,171.7869873046875,7637819
2020-06-24,227.0,228.5,222.5,223.5,165.13717651367188,8938457
2020-06-29,219.0,220.5,214.0,215.5,159.22622680664062,6023039
2020-06-30,218.0,220.0,214.0,216.0,159.59567260742188,3329722
2020-07-01,216.5,219.0,214.5,216.0,159.59567260742188,2121502
2020-07-02,218.5,219.0,216.0,218.0,161.07342529296875,2024910
2020-07-03,218.5,219.5,216.0,216.5,159.96511840820312,1948770
2020-07-06,217.5,219.5,216.5,218.5,161.44284057617188,2343569
2020-07-07,220.0,223.5,218.5,221.5,163.65943908691406,3666001
2020-07-08,222.0,226.0,221.0,225.5,166.61492919921875,2933403
2020-07-09,226.5,228.0,221.0,221.0,163.29000854492188,2611527
2020-07-10,222.5,223.0,218.0,218.0,161.07342529296875,2274590
2020-07-13,220.0,220.5,218.0,219.0,161.81227111816406,1943667
2020-07-14,219.0,220.0,217.5,217.5,160.70396423339844,1432183
2020-07-15,219.0,219.5,216.0,217.5,160.70396423339844,2564972
2020-07-16,219.5,221.5,217.0,219.5,162.18170166015625,4093893
2020-07-17,222.5,223.0,218.5,220.0,162.5511474609375,2028540
2020-07-20,222.0,225.0,221.0,224.5,165.87603759765625,3230600
2020-07-21,225.5,226.5,223.0,224.5,165.87603759765625,2709048
2020-07-22,224.5,225.5,223.5,224.5,165.87603759765625,2010525
2020-07-23,225.0,226.0,222.5,225.0,166.2454833984375,2814821
2020-07-24,224.0,224.5,218.0,218.0,161.07342529296875,3506821
2020-07-27,218.0,221.0,213.0,214.0,158.11793518066406,2869609
2020-07-28,213.5,217.0,213.0,216.0,159.59567260742188,2040965
2020-07-29,217.0,217.0,213.5,214.5,158.4873809814453,2170742
2020-07-30,215.0,217.5,214.0,215.0,158.85679626464844,1759275
2020-07-31,214.0,216.5,214.0,216.5,159.96511840820312,2199171
2020-08-03,215.5,216.5,213.0,213.0,157.37905883789062,1896770
2020-08-04,213.5,215.0,212.5,214.5,158.4873809814453,1212823
2020-08-05,217.0,226.5,216.5,224.5,165.87603759765625,8526719
2020-08-06,228.0,230.0,224.5,228.0,168.46209716796875,5613970
2020-08-07,228.5,230.5,225.5,230.0,169.93983459472656,4380112
2020-08-10,230.5,232.5,228.5,230.5,170.30926513671875,3192254
2020-08-11,232.0,233.0,228.5,229.5,169.57040405273438,2961289
2020-08-12,230.0,231.5,222.0,227.0,167.7232208251953,5152702
2020-08-13,231.0,243.0,231.0,242.0,178.80624389648438,15401680
2020-08-14,243.0,247.5,240.0,245.0,181.0228729248047,6750597
2020-08-17,247.0,253.5,245.0,251.5,185.82550048828125,5802343
2020-08-18,251.0,255.0,246.0,253.5,187.30323791503906,4467044
2020-08-19,255.0,259.5,253.0,253.5,187.30323791503906,4375010
2020-08-20,251.5,253.0,240.5,246.0,181.76171875,4605020
2020-08-21,253.5,253.5,245.5,249.5,184.34776306152344,3347702
2020-08-24,247.5,251.0,245.0,247.5,182.87002563476562,2393322
2020-08-25,247.0,248.5,246.5,248.0,183.23947143554688,2188396
2020-08-26,248.0,253.5,247.0,253.0,186.93382263183594,2386239
2020-08-27,253.0,253.5,245.5,249.0,183.9783477783203,2948283
2020-08-28,248.0,250.5,245.5,247.0,182.5006103515625,1895826
2020-08-31,247.5,248.5,243.0,243.0,179.54513549804688,2214896
2020-09-01,243.0,248.0,242.5,246.5,182.13116455078125,1928696
2020-09-02,245.5,246.5,241.0,246.5,182.13116455078125,2955440
2020-09-03,249.0,259.0,247.5,252.5,186.56439208984375,5939654
2020-09-04,247.5,249.0,245.5,248.5,183.60891723632812,2988968
2020-09-07,248.0,248.0,245.0,247.5,182.87002563476562,1106724
2020-09-08,248.0,250.0,245.5,250.0,184.71722412109375,2231350
2020-09-09,246.5,247.5,245.0,247.5,182.87002563476562,1620708
2020-09-10,252.0,258.5,252.0,254.5,188.0421142578125,4451603
2020-09-11,253.5,254.0,249.0,251.5,185.82550048828125,2301362
2020-09-14,252.0,256.5,250.5,256.0,189.15042114257812,1986350
2020-09-15,255.0,257.0,254.0,256.5,189.5198516845703,2665259
2020-09-16,258.0,258.0,254.5,256.0,189.15042114257812,2006867
2020-09-17,255.0,257.5,254.0,256.0,189.15042114257812,1185284
2020-09-18,256.0,258.5,253.0,258.5,190.9976043701172,3580902
2020-09-21,254.5,259.5,254.5,257.0,189.8892822265625,2391097
2020-09-22,256.0,260.0,255.0,258.0,190.628173828125,2198857
2020-09-23,257.0,260.0,256.0,259.0,191.3670196533203,1436300
2020-09-24,256.0,256.5,251.0,253.5,187.30323791503906,2995417
2020-09-25,253.5,254.5,245.5,246.5,182.13116455078125,2304144
2020-09-28,248.0,253.0,248.0,252.0,186.1949462890625,1603992
2020-09-29,252.0,253.0,248.0,249.5,184.34776306152344,1206454
2020-09-30,253.0,254.0,250.0,253.5,187.30323791503906,2234113
2020-10-05,253.5,254.0,245.0,247.0,182.5006103515625,2432583
2020-10-06,248.0,249.0,245.5,247.5,182.87002563476562,1895542
2020-10-07,246.0,249.0,246.0,247.0,182.5006103515625,1587310
2020-10-08,248.0,251.0,248.0,251.0,185.45606994628906,1296292
2020-10-12,251.0,254.0,250.5,254.0,187.67269897460938,2345039
2020-10-13,252.5,253.0,246.0,247.5,182.87002563476562,2431917
