Title,Link
《各報要聞》重電四雄 皆握百億訂單,https://tw.stock.yahoo.com/news/%E5%90%84%E5%A0%B1%E8%A6%81%E8%81%9E-%E9%87%8D%E9%9B%BB%E5%9B%9B%E9%9B%84-%E7%9A%86%E6%8F%A1%E7%99%BE%E5%84%84%E8%A8%82%E5%96%AE-234653590.html
中興電 外資買不停,https://tw.stock.yahoo.com/news/%E4%B8%AD%E8%88%88%E9%9B%BB-%E5%A4%96%E8%B3%87%E8%B2%B7%E4%B8%8D%E5%81%9C-201000588.html
能見度最長看到2030年 重電四雄 皆握百億訂單,https://tw.stock.yahoo.com/news/%E8%83%BD%E8%A6%8B%E5%BA%A6%E6%9C%80%E9%95%B7%E7%9C%8B%E5%88%B02030%E5%B9%B4-%E9%87%8D%E9%9B%BB%E5%9B%9B%E9%9B%84-%E7%9A%86%E6%8F%A1%E7%99%BE%E5%84%84%E8%A8%82%E5%96%AE-201000231.html
重電四雄上半年營收均寫同期新高，連袂樂看今年業績成長締新猷,https://tw.stock.yahoo.com/news/%E9%87%8D%E9%9B%BB%E5%9B%9B%E9%9B%84%E4%B8%8A%E5%8D%8A%E5%B9%B4%E7%87%9F%E6%94%B6%E5%9D%87%E5%AF%AB%E5%90%8C%E6%9C%9F%E6%96%B0%E9%AB%98-%E9%80%A3%E8%A2%82%E6%A8%82%E7%9C%8B%E4%BB%8A%E5%B9%B4%E6%A5%AD%E7%B8%BE%E6%88%90%E9%95%B7%E7%B7%A0%E6%96%B0%E7%8C%B7-011610825.html
【Hot台股】中興電衝漲停！網喊「變大哥了」 分析師：還有獲利空間,https://tw.stock.yahoo.com/news/%E3%80%90hot%E5%8F%B0%E8%82%A1%E3%80%91%E4%B8%AD%E8%88%88%E9%9B%BB%E8%A1%9D%E6%BC%B2%E5%81%9C%EF%BC%81%E7%B6%B2%E5%96%8A%E3%80%8C%E8%AE%8A%E5%A4%A7%E5%93%A5%E4%BA%86%E3%80%8D-%E5%88%86%E6%9E%90%E5%B8%AB%EF%BC%9A%E9%82%84%E6%9C%89%E7%8D%B2%E5%88%A9%E7%A9%BA%E9%96%93-035542907.html
中興電、亞力6月及上半年營收均創同期新高 機電四雄股價上漲開出,https://tw.stock.yahoo.com/news/%E4%B8%AD%E8%88%88%E9%9B%BB-%E4%BA%9E%E5%8A%9B6%E6%9C%88%E5%8F%8A%E4%B8%8A%E5%8D%8A%E5%B9%B4%E7%87%9F%E6%94%B6%E5%9D%87%E5%89%B5%E5%90%8C%E6%9C%9F%E6%96%B0%E9%AB%98-%E6%A9%9F%E9%9B%BB%E5%9B%9B%E9%9B%84%E8%82%A1%E5%83%B9%E4%B8%8A%E6%BC%B2%E9%96%8B%E5%87%BA-020643584.html
權證市場焦點－大立光 蘋果密集備貨,https://tw.stock.yahoo.com/news/%E6%AC%8A%E8%AD%89%E5%B8%82%E5%A0%B4%E7%84%A6%E9%BB%9E-%E5%A4%A7%E7%AB%8B%E5%85%89-%E8%98%8B%E6%9E%9C%E5%AF%86%E9%9B%86%E5%82%99%E8%B2%A8-201000508.html
重電族群 再躍盤面最強勢,https://tw.stock.yahoo.com/news/%E9%87%8D%E9%9B%BB%E6%97%8F%E7%BE%A4-%E5%86%8D%E8%BA%8D%E7%9B%A4%E9%9D%A2%E6%9C%80%E5%BC%B7%E5%8B%A2-201000393.html
中興電、亞力訂單滿手 營收衝高,https://tw.stock.yahoo.com/news/%E4%B8%AD%E8%88%88%E9%9B%BB-%E4%BA%9E%E5%8A%9B%E8%A8%82%E5%96%AE%E6%BB%BF%E6%89%8B-%E7%87%9F%E6%94%B6%E8%A1%9D%E9%AB%98-201000006.html
電力需求大 中興電、亞力受惠,https://tw.stock.yahoo.com/news/%E9%9B%BB%E5%8A%9B%E9%9C%80%E6%B1%82%E5%A4%A7-%E4%B8%AD%E8%88%88%E9%9B%BB-%E4%BA%9E%E5%8A%9B%E5%8F%97%E6%83%A0-201000272.html
中興電6月及上半年營收 雙雙改寫同期新高,https://tw.stock.yahoo.com/news/%E4%B8%AD%E8%88%88%E9%9B%BB6%E6%9C%88%E5%8F%8A%E4%B8%8A%E5%8D%8A%E5%B9%B4%E7%87%9F%E6%94%B6-%E9%9B%99%E9%9B%99%E6%94%B9%E5%AF%AB%E5%90%8C%E6%9C%9F%E6%96%B0%E9%AB%98-114143299.html
中興電今年上半年營收年增逾1成 法人看好逐季升溫,https://tw.stock.yahoo.com/news/%E4%B8%AD%E8%88%88%E9%9B%BB%E4%BB%8A%E5%B9%B4%E4%B8%8A%E5%8D%8A%E5%B9%B4%E7%87%9F%E6%94%B6%E5%B9%B4%E5%A2%9E%E9%80%BE1%E6%88%90-%E6%B3%95%E4%BA%BA%E7%9C%8B%E5%A5%BD%E9%80%90%E5%AD%A3%E5%8D%87%E6%BA%AB-101731857.html
電廠拉貨強 中興電、亞力6月營收站同期新高,https://tw.stock.yahoo.com/news/%E9%9B%BB%E5%BB%A0%E6%8B%89%E8%B2%A8%E5%BC%B7-%E4%B8%AD%E8%88%88%E9%9B%BB-%E4%BA%9E%E5%8A%9B6%E6%9C%88%E7%87%9F%E6%94%B6%E7%AB%99%E5%90%8C%E6%9C%9F%E6%96%B0%E9%AB%98-094022847.html
營收速報  - 中興電(1513)6月營收21.62億元年增率高達31.84％,https://tw.stock.yahoo.com/news/%E7%87%9F%E6%94%B6%E9%80%9F%E5%A0%B1-%E4%B8%AD%E8%88%88%E9%9B%BB-1513-6%E6%9C%88%E7%87%9F%E6%94%B621-62%E5%84%84%E5%85%83%E5%B9%B4%E5%A2%9E%E7%8E%87%E9%AB%98%E9%81%9431-071529890.html
【公告】中興電 2024年6月合併營收21.62億元 年增31.84%,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E4%B8%AD%E8%88%88%E9%9B%BB-2024%E5%B9%B46%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B621-62%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E31-062210015.html
外資調高重電雙強目標價 8日僅中興電上漲 華城拖累這2檔,https://tw.stock.yahoo.com/news/%E5%A4%96%E8%B3%87%E8%AA%BF%E9%AB%98%E9%87%8D%E9%9B%BB%E9%9B%99%E5%BC%B7%E7%9B%AE%E6%A8%99%E5%83%B9-8%E6%97%A5%E5%83%85%E4%B8%AD%E8%88%88%E9%9B%BB%E4%B8%8A%E6%BC%B2-%E8%8F%AF%E5%9F%8E%E6%8B%96%E7%B4%AF%E9%80%992%E6%AA%94-025015050.html
《各報要聞》外資第一家！大摩喊買重電雙雄,https://tw.stock.yahoo.com/news/%E5%90%84%E5%A0%B1%E8%A6%81%E8%81%9E-%E5%A4%96%E8%B3%87%E7%AC%AC-%E5%AE%B6-%E5%A4%A7%E6%91%A9%E5%96%8A%E8%B2%B7%E9%87%8D%E9%9B%BB%E9%9B%99%E9%9B%84-234304359.html
權證市場焦點－中興電 攻台美基建,https://tw.stock.yahoo.com/news/%E6%AC%8A%E8%AD%89%E5%B8%82%E5%A0%B4%E7%84%A6%E9%BB%9E-%E4%B8%AD%E8%88%88%E9%9B%BB-%E6%94%BB%E5%8F%B0%E7%BE%8E%E5%9F%BA%E5%BB%BA-201000136.html
《熱門族群》強韌電網＋外銷接單熱 百億訂單在手 機電四雄續旺,https://tw.stock.yahoo.com/news/%E7%86%B1%E9%96%80%E6%97%8F%E7%BE%A4-%E5%BC%B7%E9%9F%8C%E9%9B%BB%E7%B6%B2-%E5%A4%96%E9%8A%B7%E6%8E%A5%E5%96%AE%E7%86%B1-%E7%99%BE%E5%84%84%E8%A8%82%E5%96%AE%E5%9C%A8%E6%89%8B-%E6%A9%9F%E9%9B%BB%E5%9B%9B%E9%9B%84%E7%BA%8C%E6%97%BA-031216535.html
美系外資看好電力設備需求，首評華城及中興電目標價1140元及227元,https://tw.stock.yahoo.com/news/%E7%BE%8E%E7%B3%BB%E5%A4%96%E8%B3%87%E7%9C%8B%E5%A5%BD%E9%9B%BB%E5%8A%9B%E8%A8%AD%E5%82%99%E9%9C%80%E6%B1%82-%E9%A6%96%E8%A9%95%E8%8F%AF%E5%9F%8E%E5%8F%8A%E4%B8%AD%E8%88%88%E9%9B%BB%E7%9B%AE%E6%A8%99%E5%83%B91140%E5%85%83%E5%8F%8A227%E5%85%83-035302292.html
