Title,Link
華為在陸發起專利訴訟 聯發科：已進入司法程序 無重大影響,https://tw.stock.yahoo.com/news/%E8%8F%AF%E7%82%BA%E5%9C%A8%E9%99%B8%E7%99%BC%E8%B5%B7%E5%B0%88%E5%88%A9%E8%A8%B4%E8%A8%9F-%E8%81%AF%E7%99%BC%E7%A7%91-%E5%B7%B2%E9%80%B2%E5%85%A5%E5%8F%B8%E6%B3%95%E7%A8%8B%E5%BA%8F-%E7%84%A1%E9%87%8D%E5%A4%A7%E5%BD%B1%E9%9F%BF-050701219.html
八大官股護盤大買185億元創史上新高 狂敲台積電近85億元,https://tw.stock.yahoo.com/news/%E5%85%AB%E5%A4%A7%E5%AE%98%E8%82%A1%E8%AD%B7%E7%9B%A4%E5%A4%A7%E8%B2%B7185%E5%84%84%E5%85%83%E5%89%B5%E5%8F%B2%E4%B8%8A%E6%96%B0%E9%AB%98-%E7%8B%82%E6%95%B2%E5%8F%B0%E7%A9%8D%E9%9B%BB%E8%BF%9185%E5%84%84%E5%85%83-022037267.html
《科技》華為自研晶片走到盡頭...以戰逼和？,https://tw.stock.yahoo.com/news/%E7%A7%91%E6%8A%80-%E8%8F%AF%E7%82%BA%E8%87%AA%E7%A0%94%E6%99%B6%E7%89%87%E8%B5%B0%E5%88%B0%E7%9B%A1%E9%A0%AD-%E4%BB%A5%E6%88%B0%E9%80%BC%E5%92%8C-012945632.html
《各報要聞》專利侵權 華為控告聯發科,https://tw.stock.yahoo.com/news/%E5%90%84%E5%A0%B1%E8%A6%81%E8%81%9E-%E5%B0%88%E5%88%A9%E4%BE%B5%E6%AC%8A-%E8%8F%AF%E7%82%BA%E6%8E%A7%E5%91%8A%E8%81%AF%E7%99%BC%E7%A7%91-005959670.html
華為自研晶片走到盡頭...以戰逼和？,https://tw.stock.yahoo.com/news/%E8%8F%AF%E7%82%BA%E8%87%AA%E7%A0%94%E6%99%B6%E7%89%87%E8%B5%B0%E5%88%B0%E7%9B%A1%E9%A0%AD-%E4%BB%A5%E6%88%B0%E9%80%BC%E5%92%8C-201000576.html
專利侵權 華為控告聯發科,https://tw.stock.yahoo.com/news/%E5%B0%88%E5%88%A9%E4%BE%B5%E6%AC%8A-%E8%8F%AF%E7%82%BA%E6%8E%A7%E5%91%8A%E8%81%AF%E7%99%BC%E7%A7%91-201000877.html
華為在陸控告專利侵權 聯發科重訊回應了,https://tw.stock.yahoo.com/news/%E8%8F%AF%E7%82%BA%E5%9C%A8%E9%99%B8%E6%8E%A7%E5%91%8A%E5%B0%88%E5%88%A9%E4%BE%B5%E6%AC%8A-%E8%81%AF%E7%99%BC%E7%A7%91%E9%87%8D%E8%A8%8A%E5%9B%9E%E6%87%89%E4%BA%86-075652683.html
《半導體》這招狠！傳華為出手聯發科、欲顛覆既有商業模式,https://tw.stock.yahoo.com/news/%E5%8D%8A%E5%B0%8E%E9%AB%94-%E9%80%99%E6%8B%9B%E7%8B%A0-%E5%82%B3%E8%8F%AF%E7%82%BA%E5%87%BA%E6%89%8B%E8%81%AF%E7%99%BC%E7%A7%91-%E6%AC%B2%E9%A1%9B%E8%A6%86%E6%97%A2%E6%9C%89%E5%95%86%E6%A5%AD%E6%A8%A1%E5%BC%8F-043028339.html
《半導體》三星新一代記憶體完成與聯發科天璣9400認證 H2開始量產,https://tw.stock.yahoo.com/news/%E5%8D%8A%E5%B0%8E%E9%AB%94-%E4%B8%89%E6%98%9F%E6%96%B0-%E4%BB%A3%E8%A8%98%E6%86%B6%E9%AB%94%E5%AE%8C%E6%88%90%E8%88%87%E8%81%AF%E7%99%BC%E7%A7%91%E5%A4%A9%E7%92%A39400%E8%AA%8D%E8%AD%89-h2%E9%96%8B%E5%A7%8B%E9%87%8F%E7%94%A2-021452785.html
《半導體》遭華為提出專利訴訟？ 聯發科說話了,https://tw.stock.yahoo.com/news/%E5%8D%8A%E5%B0%8E%E9%AB%94-%E9%81%AD%E8%8F%AF%E7%82%BA%E6%8F%90%E5%87%BA%E5%B0%88%E5%88%A9%E8%A8%B4%E8%A8%9F-%E8%81%AF%E7%99%BC%E7%A7%91%E8%AA%AA%E8%A9%B1%E4%BA%86-013641601.html
