ticker,daily_return,weekly_return,one_month_return,six_months_return,one_year_return,additional_win_rate,prev_1d_change,prev_3d_change,prev_5d_change,daily_win_rate,weekly_win_rate,monthly_win_rate,six_months_win_rate,one_year_win_rate
AAPL,0.11883477760026824,0.11231900442979764,0.3667526546255906,0.18704184652130884,0.08210397353826998,15,-2.5295980990260425,-0.72004357233586,-1.7598038114488235,52.53940455341506,52.44397759103642,52.72158207232059,55.55555555555556,54.1501976284585
MSFT,0.10852105803748956,0.10234488726558678,0.01639111839478418,0.10898725684863873,0.10717902506038282,15,-1.334757106834128,-2.211442850677614,-4.875069380445707,52.364273204903675,52.093837535014,52.397131888290616,52.38095238095239,54.9407114624506
GOOGL,0.10677387571803278,0.1108713146167736,0.12231093170501216,0.20600829672112478,0.16005034246254163,15,-1.5767692069137973,-2.188362723011461,-5.314357564889349,54.378283712784594,54.278711484593835,54.38540116010471,62.698412698412696,58.498023715415016
AMZN,0.08612097246182773,0.08484110898094535,0.12323902650483258,0.17452695964106976,0.14690941226176013,15,-2.63703838152175,-3.3729305527802067,-5.93623354967836,51.83887915936952,51.757703081232485,51.83056275255152,52.38095238095239,51.77865612648221
TSLA,0.27758145679767415,0.30041417428695616,1.6729162207321437,0.1602801077048618,0.0044989420714920845,20,-3.1415644041518975,0.108771815295583,-5.606628131164138,53.1523642732049,53.36834733893558,53.4098919595071,51.587301587301596,49.01185770750988
JPM,0.05925892442375178,0.06083492234226175,0.5436051187104519,0.21053216676503975,0.15244302125204642,65,1.5213931627594768,5.821212322465996,4.364769938511781,51.138353765324,51.134453781512605,51.380209416822694,59.523809523809526,57.31225296442688
JNJ,0.014169308835907665,0.01612151705117782,0.3540323110874425,-0.014836314001641083,-0.002811347111794265,45,3.6885024348283224,4.4702406791891525,4.784855454545078,50.17513134851138,50.13305322128852,50.217584024740255,51.587301587301596,54.1501976284585
V,0.04732934845992456,0.054360548871960984,0.041509280094577584,0.026031349938364347,0.049100187058335035,15,1.2813415810700945,2.6191097420142473,3.6882175692134034,53.06479859894922,53.214285714285715,53.128653469822595,58.730158730158735,58.10276679841897
PG,0.03680717964582261,0.03699000721725333,0.07850681325358552,0.10122934550916805,0.0517937895774514,15,1.4914678279005944,1.6985786091395338,1.5827334180738895,53.502626970227674,53.36834733893558,53.35612567170712,56.34920634920635,54.54545454545454
UNH,0.07691291732500537,0.08067071968000608,0.7048342865305017,0.09259330495248089,0.07965987079077874,70,4.447325304141603,12.071634247245889,14.443143289270166,52.97723292469352,52.878151260504204,53.06350497155573,54.761904761904766,52.96442687747036
NVDA,0.3187990708162629,0.30721389045417763,-0.4689533387280979,0.642915210720555,0.4187175002663762,15,-6.623933765552992,-8.704740909338327,-12.541698420464865,54.64098073555166,54.22268907563025,54.67718523761794,57.14285714285714,56.916996047430835
DIS,-0.012800323846015168,-0.008409578931771099,-0.12403441796073414,0.05135690361822929,0.05102269503356947,15,-1.1780274679893843,0.18531896454827557,0.3506201233480555,47.8984238178634,47.89215686274509,47.74767767424311,50.0,49.40711462450593
HD,0.0638542818633257,0.06400617923845281,0.34451680351701064,0.03771070792391558,0.07124679029192817,75,0.7504387646002808,3.3688261958684462,8.051026370599978,53.327495621716295,53.221288515406165,53.464278734925706,50.0,52.17391304347826
MA,0.05504782295773088,0.06183155104421041,0.07480526492524948,0.045590950548488274,0.04972255315943521,15,1.720290601269836,2.5107401963897935,4.0402150221021005,52.1891418563923,52.233893557422974,52.30461799486139,55.55555555555556,57.31225296442688
PYPL,-0.009795586239991567,-0.00294800155707643,0.054430826724965756,0.05982490164020909,-0.03953310234211558,0,-0.9221803626597636,1.6094262706748852,3.9728354702329938,51.225919439579684,51.18347338935575,51.20355325972135,53.96825396825397,53.75494071146245
VZ,-0.02342621421212541,-0.018287361162630567,0.2803699738620137,0.06136163684984339,0.09466066583207107,30,1.3992714250466332,1.4482222295473468,2.3125533249709562,48.9492119089317,49.124649859943986,49.05884185850901,50.0,52.569169960474305
ADBE,0.07643791521872642,0.07563755435194684,0.33895947743590144,-0.017062602023879124,0.05830851010366271,15,-0.6089510547671373,0.7226615062544628,-0.258606141009321,52.27670753064798,52.149859943977596,52.29749634596732,46.03174603174603,49.01185770750988
NFLX,0.10448983525519256,0.10005746785498985,-0.14959434625634632,0.25482185331158486,0.1744146012868309,15,-1.3499489963263778,-0.021611120839626352,-4.455102391165755,50.700525394045535,50.476190476190474,50.44435018556093,50.79365079365079,50.59288537549407
