Date,Close,Volume,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX
2020-03-16,320.0,12157.253,360.6,371.0,27.354390040535883,-16.389765965813353,-13.153310700652348,410.134383858699,371.0,331.865616141301,16.137051139485,28.00596779340404
2020-03-17,315.5,14275.86,354.95,366.875,26.382272396724026,-18.49031334785775,-14.220711230093428,410.84871373900546,366.875,322.90128626099454,16.4486903438075,30.05459394946638
2020-03-18,301.5,14031.612,348.05,362.35,23.575235995265746,-21.0421346489141,-15.584995913857563,413.14675186466104,362.35,311.553248135339,16.702355319249822,32.11362570702134
2020-03-19,274.0,25712.419,336.95,356.625,19.243929284415835,-24.995360629526147,-17.46706885699128,418.8631514828326,356.625,294.3868485171674,17.545044225017694,34.59255219856127
2020-03-20,301.0,17041.676,329.2,351.975,32.3797044857284,-25.653923883515347,-19.104439862296093,416.21320903481035,351.975,287.7367909651897,18.220398208945003,36.68101336585395
2020-03-23,308.0,20264.004,323.35,347.975,35.31727173046006,-25.319135277569387,-20.34737894535075,412.7032588982582,347.975,283.24674110174186,18.204655479734647,37.55364225920213
2020-03-24,330.0,13337.078,319.0,345.625,43.6087471936032,-23.013313603081087,-20.880565876896817,409.3728431007668,345.625,281.8771568992332,19.082894374039313,36.703562071792774
2020-03-25,334.5,20283.591,316.15,343.425,45.15733750239143,-20.585523817050785,-20.82155746492761,405.4977597259858,343.425,281.3522402740142,19.362687633036504,35.101969347376816
2020-03-26,343.5,11554.093,316.9,341.85,48.220015836461904,-17.730867730365503,-20.20341951801519,402.21315101119194,341.85,281.4868489888081,19.193924230676753,33.695990394714876
2020-03-27,340.0,13224.545,316.8,340.85,47.11801962230841,-15.571454924781733,-19.277026599368497,400.6372059892412,340.85,281.06279401075886,19.465786785628413,31.6167671249199
2020-03-30,336.5,10694.349,318.45,339.525,45.986231177916224,-13.981357086506364,-18.21789269679607,398.4584158181933,339.525,280.59158418180664,19.289659158083527,30.27217921053123
2020-03-31,327.5,10806.002,319.65,337.3,43.118112507520635,-13.294170950119565,-17.23314834746077,394.4956292036373,337.3,280.10437079636273,19.161826361077562,28.654454977994366
2020-04-01,334.0,6557.209,322.9,335.475,45.74975293428093,-12.085758211353607,-16.203670320239336,390.60890517639706,335.475,280.341094823603,18.40026733528631,27.17545873340601
2020-04-06,341.0,8234.391,329.6,333.275,48.51239492349362,-10.442862097376235,-15.051508675666716,383.63319198501875,333.275,282.9168080149812,17.943105382765857,25.3083426945861
2020-04-07,347.0,8655.322,334.2,331.7,50.82400173995772,-8.558053323207389,-13.752817605174851,378.1180999180278,331.7,285.2819000819722,17.304312141139725,23.77966001210292
2020-04-08,349.5,6885.59,338.35,330.85,51.79512789669454,-6.78439341953424,-12.359132768046729,375.26745152527235,330.85,286.4325484747277,16.56828984534403,22.46573775466132
2020-04-09,351.5,8237.776,340.5,329.75,52.60154790822388,-5.157914652616171,-10.918889144960618,370.85413604492845,329.75,288.64586395507155,15.991983427819457,21.462370068144633
2020-04-10,350.0,6619.621,342.05,329.1,51.90027674331835,-3.944486391895566,-9.524008594347608,368.4542882034468,329.1,289.7457117965532,15.171127468689496,20.530671502093423
2020-04-13,351.5,7148.004,342.85,329.875,52.581083360753524,-2.8291852031042595,-8.185043916098937,370.3371736934634,329.875,289.4128263065366,14.516046935211675,19.784935212545605
