ticker,daily_return,weekly_return,one_month_return,six_months_return,one_year_return,daily_win_rate,weekly_win_rate,monthly_win_rate,six_months_win_rate,one_year_win_rate,additional_win_rate,total_win_rate
2330.TW,0.11748877695054238,0.12457571856990789,0.592862565150421,0.5062147479319443,0.24540762916513545,48.5921889191644,48.47517730496454,48.386518395598294,57.98319327731093,52.04918032786885,20,275.48625822490703
2317.TW,0.0939092108664528,0.08622527797729933,0.4705781748344874,0.6801642802760476,0.3001762196093435,44.141689373297005,44.219858156028366,44.2299116452618,52.10084033613446,45.49180327868852,10,240.1841027894102
2382.TW,0.17185614893694873,0.15812904883811119,0.5483415539152442,0.3238058281738985,0.2551247443612969,50.31789282470481,50.241134751773046,50.12691813055254,51.26050420168067,51.229508196721305,10,263.17595810543236
2303.TW,0.13432805109945806,0.1270752427578143,-0.22840866605239796,0.06684982433535974,0.05332950233716495,48.228882833787466,48.04255319148936,48.104973994448905,47.89915966386555,46.72131147540984,0,238.99688115900113
1216.TW,0.01994004759334175,0.022301565753111534,0.2763275043163384,0.15379605909497818,0.06108939906999974,48.31970935513169,47.92907801418439,48.50982810364349,48.739495798319325,50.0,5,248.4981112712789
3711.TW,0.09439727138571088,0.0918248764264476,0.42773546309416355,0.32551464327389135,0.20271754061740732,47.774750227066306,47.84397163120567,47.74265153396077,52.10084033613446,49.59016393442623,10,255.05237766279345
1303.TW,-0.022889421368641492,-0.026277830868628192,-0.09114449402506439,-0.20214507291860412,-0.13921647833959977,46.321525885558586,46.205673758865245,46.359740923820276,36.97478991596639,37.704918032786885,0,213.5666485169974
2002.TW,0.011793083422914408,0.015272696984160007,0.03326462840867382,-0.0774386714330854,-0.08522701277461958,44.05086285195277,44.11347517730496,44.18728497837396,37.81512605042017,38.9344262295082,0,209.10117528756007
1301.TW,-0.04022277478067038,-0.03609442580525509,-0.28990520400584696,-0.23022919956117355,-0.15040871303234046,44.50499545867393,44.30496453900709,44.57782186894144,36.134453781512605,38.114754098360656,0,207.63698974649571
3231.TW,0.1481254638861257,0.1417322099739927,-0.07690274536992436,0.08808221492170543,-0.0688131822726441,50.22706630336058,50.48226950354609,50.21617939704309,45.378151260504204,46.72131147540984,0,243.02497793986382
3045.TW,-0.005723767418355553,-0.009530086670416354,-0.2528841313715362,0.020178198168175253,0.03025048624545143,41.59854677565849,41.11347517730496,41.69776769457383,43.69747899159664,47.540983606557376,5,220.64825224569128
2542.TW,0.05965947560138299,0.07218450969687967,0.8405303903117487,0.3721359675272231,0.1954315790323908,48.228882833787466,48.87234042553192,48.898234331059015,52.94117647058824,46.72131147540984,30,275.6619455363765
2449.TW,0.13434296491457795,0.1256564663475851,1.4535100940617334,0.4893309564195402,0.35273168409662947,49.863760217983646,49.61702127659574,49.66731750039182,48.739495798319325,48.77049180327869,25,271.6580865965692
5388.TW,0.057311049973786526,0.04560175975687429,0.22252746072693902,-0.05719536497225838,0.021206435345036866,48.31970935513169,48.63120567375886,48.45161361669152,45.378151260504204,45.90163934426229,0,236.6823192503486
2376.TW,0.20604712959797364,0.22246843005096742,-0.191343443862867,0.1564347965985074,0.059933881139484,49.863760217983646,50.156028368794324,49.69657340460949,45.378151260504204,43.85245901639344,0,238.9469722682851
2603.TW,0.22928965406028373,0.2329938521636266,-0.6406172252051613,0.12729012410314025,0.27361506407359004,49.863760217983646,49.4468085106383,49.55994356235426,47.05882352941176,48.77049180327869,0,244.69982762366664
3035.TW,0.22347987698406244,0.21464264612180284,0.3544003511292502,-0.1480575256897505,0.11318043022527997,49.137148047229786,48.87943262411347,49.138311320276344,44.537815126050425,48.77049180327869,10,250.46319892094868
2356.TW,0.10230866732966132,0.08373541473126574,0.11333658055647841,0.1113726163914526,0.04785125955193011,48.86466848319709,48.787234042553195,48.8841396152303,49.57983193277311,47.540983606557376,0,243.65685768031108
2357.TW,0.08733502467094519,0.07374695834966076,0.05829447820994043,0.1094812256780484,0.2388229115313949,48.13805631244323,48.09219858156029,48.25571506963839,42.016806722689076,45.90163934426229,5,237.40441603059327
2383.TW,0.15093565733828082,0.1366316700521917,0.10846704955581811,0.23447687007779044,0.22716406577644177,48.50136239782017,48.41134751773049,48.69878696705997,48.739495798319325,48.77049180327869,10,253.12148448420862
2360.TW,0.10791061247794359,0.10990069142865115,0.8646091713590897,0.4172330032493766,0.10296936778404805,46.23069936421435,46.226950354609926,46.29933397719347,50.42016806722689,47.540983606557376,15,251.718135369802
2454.TW,0.13376189288792864,0.1251861848176905,-0.10553493629663308,0.35375705073767194,0.29913833982201715,48.228882833787466,47.95744680851064,48.12803146768319,48.739495798319325,48.77049180327869,10,251.82434871157932
6505.TW,-0.027863136685044795,-0.019297248739731883,-0.13308804137733618,-0.1686101313479532,-0.09273526254793935,45.594913714804726,45.87943262411347,45.85830326530777,34.45378151260504,42.21311475409836,10,223.99954587092938
2412.TW,0.010706035663241928,0.02023426951115281,-0.3177522081478119,-9.004036298216665e-05,0.0127656312290622,38.782924613987284,39.205673758865245,38.81490318359346,40.33613445378151,39.75409836065574,0,196.89373437088324
1301.TW,-0.04022277478067038,-0.03609442580525509,-0.28990520400584696,-0.23022919956117355,-0.15040871303234046,44.50499545867393,44.30496453900709,44.57782186894144,36.134453781512605,38.114754098360656,0,207.63698974649571
1303.TW,-0.022889421368641492,-0.026277830868628192,-0.09114449402506439,-0.20214507291860412,-0.13921647833959977,46.321525885558586,46.205673758865245,46.359740923820276,36.97478991596639,37.704918032786885,0,213.5666485169974
