ticker,daily_return,weekly_return,one_month_return,six_months_return,one_year_return,prev_1d_change,prev_3d_change,prev_5d_change,daily_win_rate,weekly_win_rate,monthly_win_rate,six_months_win_rate,one_year_win_rate,additional_win_rate,total_win_rate
2330.TW,0.1141279325706613,0.12100705365484701,0.40017516164564204,0.48230269934621,0.2297760833176253,-2.4271844660194164,-3.3653846153846145,-6.944444444444442,48.55072463768116,48.58156028368794,48.268454641170905,57.14285714285714,52.03252032520326,0,254.5761170306004
2317.TW,0.08834128314038348,0.079252787452087,0.13097147878991738,0.6468686274561714,0.2702034915702937,-3.7735849056603765,-5.773672055427248,-9.534368070953436,44.02173913043478,43.90070921985815,44.05281601362072,52.10084033613446,44.71544715447154,0,228.79155185451967
2382.TW,0.1642391339556039,0.15267664151758623,0.1877235527371884,0.2664991304360522,0.22509975429530477,-5.095541401273884,-7.739938080495357,-10.37593984962406,50.18115942028986,50.241134751773046,49.91440337258323,49.57983193277311,50.81300813008131,0,250.72953760750056
2303.TW,0.13277040200054785,0.12326751681819069,-0.29661596015237507,0.08044982661517452,0.04586498542368413,-0.5660362963406551,-1.3108628144892776,-3.6563070788018126,48.09782608695652,47.723404255319146,47.96329748913603,47.05882352941176,45.9349593495935,15,251.77831071041697
1216.TW,0.020881772556112982,0.020490996869709496,0.3000617551026,0.1899186398749898,0.06452066273662635,3.0660358261239473,1.0404641917675317,2.222224006875906,48.278985507246375,47.716312056737586,48.39176434921611,49.57983193277311,49.59349593495935,15,258.56038978093255
3711.TW,0.09243165042538709,0.08622363196344668,0.28239769484100785,0.3163578673600036,0.1934072837624689,-3.561643835616435,-1.9498607242339872,-9.043927648578808,47.73550724637681,47.63120567375886,47.62458777953338,52.94117647058824,49.59349593495935,15,260.5259731052166
1303.TW,-0.020875989435087474,-0.021121724756801935,0.04465523551900209,-0.1319085399747023,-0.12705237541350947,0.5952365634483314,2.1148020237486964,4.106776116360944,46.3768115942029,46.41843971631205,46.44238555191945,38.655462184873954,38.21138211382114,15,231.10448116112948
2002.TW,0.01216227690824856,0.011598766921535001,0.012214718519609275,-0.040837975561048574,-0.08482670695271398,0.6423966427397287,0.42735206452968466,1.952281031818548,44.11231884057971,44.00709219858156,44.269929606473134,39.49579831932773,39.02439024390244,0,210.9095292088646
1301.TW,-0.03461914497772985,-0.026340217916222725,0.055808705360619854,-0.1320759692875007,-0.1216371810989846,1.1647267565919606,6.1082025246106175,6.666665328176391,44.565217391304344,44.5177304964539,44.66046649704061,37.81512605042017,38.61788617886179,35,245.1764266140808
3231.TW,0.14842353593220103,0.14104929031320204,0.04354392078527266,0.10814616508188989,-0.05795407819416269,-1.834862385321101,0.46948356807512415,-0.92592592592593,50.18115942028986,50.26950354609929,50.20437302160035,46.21848739495798,46.7479674796748,15,258.6214908626223
3045.TW,-0.003032874738499215,-0.0063908490920903185,-0.1025949319641646,0.0670572630907609,0.04456469593349052,1.9607843137254832,2.970297029702973,2.970297029702973,41.66666666666667,41.32624113475177,41.780412322672994,45.378151260504204,47.96747967479675,15,233.1189510593924
2542.TW,0.0663376925405335,0.07758225656364795,1.053356418718153,0.43657696547576735,0.2273797223761155,1.384617732121396,7.679739712986411,9.833335876464844,48.369565217391305,48.87234042553192,48.969072583715445,54.621848739495796,47.5609756097561,75,323.39380257589056
2449.TW,0.12723201187675467,0.11523806902583411,0.840410912909186,0.4086985292791823,0.28106495018073413,-6.666666666666665,-7.392996108949412,-9.160305343511455,49.81884057971014,49.40425531914894,49.58467287229264,47.89915966386555,48.3739837398374,15,260.08091217485463
5388.TW,0.059132918436504464,0.050627107571401056,0.22038332408046424,-0.02913019503443995,0.036850512186544504,2.136752136752129,2.136752136752129,1.7021276595744705,48.369565217391305,48.84397163120567,48.53425824479069,46.21848739495798,46.34146341463415,15,253.30774590297978
2376.TW,0.19985003516300726,0.22308424146786152,-0.3345992849744181,0.12023504409327786,0.03760653585225504,-3.242320819112632,-6.12582781456954,-9.713375796178347,49.81884057971014,50.26241134751773,49.64934790283853,45.378151260504204,43.90243902439025,15,254.01119011496087
2603.TW,0.22841235018358313,0.23269619555317997,-0.618924848084445,0.14618329591114398,0.2622494509016914,0.5813953488372103,-0.2881844380403509,-1.7045454545454586,49.90942028985507,49.659574468085104,49.74884556943809,47.89915966386555,48.78048780487805,15,260.99748779612185
3035.TW,0.22130271842234692,0.21652304613396497,0.11782005792448877,-0.17649016685677174,0.07215229874800515,-5.9490084985835745,-2.0648967551622377,-3.065693430656935,49.094202898550726,48.98581560283688,49.126504944833606,44.537815126050425,48.3739837398374,15,255.11832231210903
2356.TW,0.09882086304539936,0.09295166522665176,0.02019554409327493,0.11575860274939977,-0.006996120943174796,-3.1914946862756532,-3.5335689998550968,-6.0240965437528775,48.822463768115945,48.8936170212766,48.80149498713113,50.42016806722689,47.15447154471545,15,259.092215388466
2357.TW,0.086382629746646,0.07949176535026271,0.05858920079404535,0.12074696071540551,0.23162987065639506,0.20263424518742745,-0.8024072216649913,-3.606237816764135,48.188405797101446,48.304964539007095,48.30294057140935,43.69747899159664,45.9349593495935,30,264.428749248708
2383.TW,0.14615937424539524,0.13150886869108752,0.002599015592905941,0.1860287019721938,0.2077316877280766,-3.1385281385281405,-4.78723404255319,-10.499999999999998,48.460144927536234,48.5177304964539,48.61614233896079,47.89915966386555,48.78048780487805,15,257.2736652316945
