Title,Link
減碳成效公股之冠！合庫金112年減碳3579公噸年減13.73%,https://tw.stock.yahoo.com/news/%E6%B8%9B%E7%A2%B3%E6%88%90%E6%95%88%E5%85%AC%E8%82%A1%E4%B9%8B%E5%86%A0-%E5%90%88%E5%BA%AB%E9%87%91112%E5%B9%B4%E6%B8%9B%E7%A2%B33579%E5%85%AC%E5%99%B8%E5%B9%B4%E6%B8%9B13-73-110341747.html
公股4金2銀上半年獲利一表看　兆豐金大賺逾200億穩居冠,https://tw.stock.yahoo.com/news/%E5%85%AC%E8%82%A14%E9%87%912%E9%8A%80%E4%B8%8A%E5%8D%8A%E5%B9%B4%E7%8D%B2%E5%88%A9%E4%B8%80%E8%A1%A8%E7%9C%8B-%E5%85%86%E8%B1%90%E9%87%91%E5%A4%A7%E8%B3%BA%E9%80%BE200%E5%84%84%E7%A9%A9%E5%B1%85%E5%86%A0-110303410.html
合庫金融FIDO新場景 合庫證券開戶驗證新選擇,https://tw.stock.yahoo.com/news/%E5%90%88%E5%BA%AB%E9%87%91%E8%9E%8Dfido%E6%96%B0%E5%A0%B4%E6%99%AF-%E5%90%88%E5%BA%AB%E8%AD%89%E5%88%B8%E9%96%8B%E6%88%B6%E9%A9%97%E8%AD%89%E6%96%B0%E9%81%B8%E6%93%87-104405400.html
合庫金上半年賺破百億元 年增6.65％,https://tw.stock.yahoo.com/news/%E5%90%88%E5%BA%AB%E9%87%91%E4%B8%8A%E5%8D%8A%E5%B9%B4%E8%B3%BA%E7%A0%B4%E7%99%BE%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E6-65-103639579.html
【公告】合庫金 2024年6月合併營收60.62億元 年增1.45%,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%90%88%E5%BA%AB%E9%87%91-2024%E5%B9%B46%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B660-62%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E1-084147354.html
